review_order,priority_group,triage_rank,triage_score,listing_id,address,source_label,recommended_source,recommended_label,coordinate_confidence,best_photo_indices,arcgis_real_tiles,arcgis_placeholder_tiles,best_overhead_candidate,aerial_contact_sheet,mls_contact_sheet,google_best_image,google_contact_sheet,bing_contact_sheet,mapbox_contact_sheet,app_path,review_reason,rights_note
11,A - strong candidate,11,126,10681344,2 RIDGEMONT Avenue,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"3,2,1",0,9,data\aerial\fernie_sparwood\2-ridgemont-avenue-10681344\esri_world_imagery_z19\z19_x94582_y178930.jpg,data\contact_sheets\fernie_sparwood\2-ridgemont-avenue-10681344\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\2-ridgemont-avenue-10681344\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\2-ridgemont-avenue-10681344\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\2-ridgemont-avenue-10681344\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-10681344,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 3 is a clear elevated/top-down aerial-style view showing the house, driveway, and surrounding lot/backyard con…",MLS/listing photos are research-only until rights are verified.
12,A - strong candidate,12,126,20035684,222 Boulder Creek,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"3,8,9,4,5",0,9,data\aerial\cranbrook_kimberley\222-boulder-creek-20035684\esri_world_imagery_z19\z19_x93563_y178848.jpg,data\contact_sheets\cranbrook_kimberley\222-boulder-creek-20035684\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\222-boulder-creek-20035684\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\222-boulder-creek-20035684\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\222-boulder-creek-20035684\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20035684,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: multiple drone/elevated snow views show building roofs, surrounding lots, and complex context. Best set for house pl…",MLS/listing photos are research-only until rights are verified.
13,A - strong candidate,13,126,20049485,224 Lindsay Street,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,3,0,9,data\aerial\cranbrook_kimberley\224-lindsay-street-20049485\esri_world_imagery_z19\z19_x93234_y178553.jpg,data\contact_sheets\cranbrook_kimberley\224-lindsay-street-20049485\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\224-lindsay-street-20049485\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\224-lindsay-street-20049485\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\224-lindsay-street-20049485\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20049485,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 3 is a clear elevated/top-down aerial showing house, yard/lot, and neighboring context.",MLS/listing photos are research-only until rights are verified.
14,A - strong candidate,14,126,20084357,233 Boulder Creek,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"4,30,29,2",0,9,data\aerial\cranbrook_kimberley\233-boulder-creek-20084357\esri_world_imagery_z19\z19_x93562_y178850.jpg,data\contact_sheets\cranbrook_kimberley\233-boulder-creek-20084357\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\233-boulder-creek-20084357\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\233-boulder-creek-20084357\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\233-boulder-creek-20084357\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20084357,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong elevated/drone-style images show house/yard/lot context; photos 4 and 30 appear best for backyard/lot with ho…,MLS/listing photos are research-only until rights are verified.
15,A - strong candidate,15,126,10680589,2510 COBBLESTONE Trail,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,2,3,4,8,9",0,9,data\aerial\columbia_valley\2510-cobblestone-trail-10680589\esri_world_imagery_z19\z19_x93145_y176708.jpg,data\contact_sheets\columbia_valley\2510-cobblestone-trail-10680589\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\2510-cobblestone-trail-10680589\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\2510-cobblestone-trail-10680589\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\2510-cobblestone-trail-10680589\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-10680589,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Strong winter exterior plus elevated/drone-style views of home/setting and nearby landscape.,MLS/listing photos are research-only until rights are verified.
16,A - strong candidate,16,126,10684446,2543 LEDGEROCK Ridge,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,3,26,27,29,30",0,9,data\aerial\columbia_valley\2543-ledgerock-ridge-10684446\esri_world_imagery_z19\z19_x93148_y176716.jpg,data\contact_sheets\columbia_valley\2543-ledgerock-ridge-10684446\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\2543-ledgerock-ridge-10684446\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\2543-ledgerock-ridge-10684446\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\2543-ledgerock-ridge-10684446\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-10684446,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Exterior, patio, and scenic mountain/view shots; photo 3 appears to be elevated drone/aerial-style.",MLS/listing photos are research-only until rights are verified.
17,A - strong candidate,17,126,20072535,2904 Edgewood Drive,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"3,1,5,4",0,9,data\aerial\cranbrook_kimberley\2904-edgewood-drive-20072535\esri_world_imagery_z19\z19_x93586_y178917.jpg,data\contact_sheets\cranbrook_kimberley\2904-edgewood-drive-20072535\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\2904-edgewood-drive-20072535\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\2904-edgewood-drive-20072535\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\2904-edgewood-drive-20072535\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20072535,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong aerial set; photo 3 is best top-down roof/yard/lot view, with oblique house+lot and neighborhood context in p…",MLS/listing photos are research-only until rights are verified.
18,A - strong candidate,18,126,20042910,307 LEGACY LOOKOUT,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"2,1",0,9,data\aerial\cranbrook_kimberley\307-legacy-lookout-20042910\esri_world_imagery_z19\z19_x93557_y178843.jpg,data\contact_sheets\cranbrook_kimberley\307-legacy-lookout-20042910\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\307-legacy-lookout-20042910\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\307-legacy-lookout-20042910\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\307-legacy-lookout-20042910\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20042910,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 2 is the strongest top-down lot/house view; photo 1 provides elevated front/lot context; photo 3 is elevated s…,MLS/listing photos are research-only until rights are verified.
19,A - strong candidate,19,126,20048728,313 17TH Street S,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"2,3",0,9,data\aerial\cranbrook_kimberley\313-17th-street-s-20048728\esri_world_imagery_z19\z19_x93530_y178954.jpg,data\contact_sheets\cranbrook_kimberley\313-17th-street-s-20048728\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\313-17th-street-s-20048728\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\313-17th-street-s-20048728\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\313-17th-street-s-20048728\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20048728,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 2 is a top-down drone-style view showing house/roof and lot relationship; photo 3 gives elevated neighborhood/…,MLS/listing photos are research-only until rights are verified.
20,A - strong candidate,20,126,10673047,4576 COLUMERE Road,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,2,3,4,5,6,7,9,10",0,9,data\aerial\columbia_valley\4576-columere-road-10673047\esri_world_imagery_z19\z19_x93384_y177151.jpg,data\contact_sheets\columbia_valley\4576-columere-road-10673047\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\4576-columere-road-10673047\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\4576-columere-road-10673047\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\4576-columere-road-10673047\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-10673047,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong exterior/yard/deck set with lake/mountain aerial-style context; hot tub visible on deck/patio. Needs human verification be…,MLS/listing photos are research-only until rights are verified.
21,A - strong candidate,21,126,20046407,4824 MCKAY Street,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"5,3,4",0,9,data\aerial\columbia_valley\4824-mckay-street-20046407\esri_world_imagery_z19\z19_x93098_y176403.jpg,data\contact_sheets\columbia_valley\4824-mckay-street-20046407\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\4824-mckay-street-20046407\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\4824-mckay-street-20046407\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\4824-mckay-street-20046407\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-20046407,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 5 is a strong vertical/top-down aerial of house and lot; photos 3-4 add rear/yard ground context. Photos 6-8 a…,MLS/listing photos are research-only until rights are verified.
22,A - strong candidate,22,126,10665854,4874 RIDGE Crescent,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"6,4,5",0,9,data\aerial\columbia_valley\4874-ridge-crescent-10665854\esri_world_imagery_z19\z19_x93209_y176684.jpg,data\contact_sheets\columbia_valley\4874-ridge-crescent-10665854\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\4874-ridge-crescent-10665854\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\4874-ridge-crescent-10665854\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\4874-ridge-crescent-10665854\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-10665854,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong drone/elevated coverage. Photo 6 is best top-down/near-overhead showing house, patio/backyard and treed lot c…",MLS/listing photos are research-only until rights are verified.
23,A - strong candidate,23,126,20059692,4891 Glen Eagle Drive,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,4,5,23",0,9,data\aerial\columbia_valley\4891-glen-eagle-drive-20059692\esri_world_imagery_z19\z19_x93405_y177052.jpg,data\contact_sheets\columbia_valley\4891-glen-eagle-drive-20059692\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\4891-glen-eagle-drive-20059692\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\4891-glen-eagle-drive-20059692\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\4891-glen-eagle-drive-20059692\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-20059692,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Clear drone/aerial mountain/neighborhood view plus patio/covered outdoor sitting area.,MLS/listing photos are research-only until rights are verified.
24,A - strong candidate,24,126,10676258,49 MT PROCTOR Avenue,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"3,2,1,30",0,9,data\aerial\fernie_sparwood\49-mt-proctor-avenue-10676258\esri_world_imagery_z19\z19_x94555_y178958.jpg,data\contact_sheets\fernie_sparwood\49-mt-proctor-avenue-10676258\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\49-mt-proctor-avenue-10676258\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\49-mt-proctor-avenue-10676258\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\49-mt-proctor-avenue-10676258\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-10676258,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 3 is a top-down/aerial view showing house/roof and surrounding lot context. Photos 1/2 show house with lawn fr…,MLS/listing photos are research-only until rights are verified.
25,A - strong candidate,25,126,20026072,4992 MOUNTAIN VIEW Drive,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,17,18,19",0,9,data\aerial\columbia_valley\4992-mountain-view-drive-20026072\esri_world_imagery_z19\z19_x93425_y177040.jpg,data\contact_sheets\columbia_valley\4992-mountain-view-drive-20026072\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\4992-mountain-view-drive-20026072\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\4992-mountain-view-drive-20026072\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\4992-mountain-view-drive-20026072\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-20026072,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Aerial/property overview plus deck/patio outdoor living views; no clear pool or hot tub.,MLS/listing photos are research-only until rights are verified.
26,A - strong candidate,26,126,10683660,5138 RIVERVIEW Crescent,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"27,29,1,2",0,9,data\aerial\columbia_valley\5138-riverview-crescent-10683660\esri_world_imagery_z19\z19_x93408_y177063.jpg,data\contact_sheets\columbia_valley\5138-riverview-crescent-10683660\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\5138-riverview-crescent-10683660\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\5138-riverview-crescent-10683660\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\5138-riverview-crescent-10683660\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-10683660,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photos 27 and 29 are the strongest elevated/yard-context views with rear/side house plus landscaped lot/backyard vis…,MLS/listing photos are research-only until rights are verified.
27,A - strong candidate,27,126,10665467,661 3RD Avenue,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"3,4,5,6,7",0,9,data\aerial\fernie_sparwood\661-3rd-avenue-10665467\esri_world_imagery_z19\z19_x94573_y178925.jpg,data\contact_sheets\fernie_sparwood\661-3rd-avenue-10665467\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\661-3rd-avenue-10665467\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\661-3rd-avenue-10665467\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\661-3rd-avenue-10665467\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-10665467,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong backyard/lot coverage; photo 7 is top-down/elevated yard view, with multiple ground views showing house/yard…",MLS/listing photos are research-only until rights are verified.
28,A - strong candidate,28,126,20020418,782 4TH Avenue,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"10,6,7,4,5",0,9,data\aerial\fernie_sparwood\782-4th-avenue-20020418\esri_world_imagery_z19\z19_x94573_y178922.jpg,data\contact_sheets\fernie_sparwood\782-4th-avenue-20020418\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\782-4th-avenue-20020418\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\782-4th-avenue-20020418\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\782-4th-avenue-20020418\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-20020418,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong aerial neighborhood/property context, especially photo 10 with apparent lot/property framing. Photos 4 and 5…",MLS/listing photos are research-only until rights are verified.
