priority_rank,review_status,source_label,listing_id,address,area,subarea,latitude,longitude,coordinate_confidence,best_overhead_candidate,contact_sheet,aerial_tile_count,image_quality_score_auto,center_tile_bytes,center_tile_brightness,center_tile_contrast,backyard_visibility,overhead_quality,hot_tub_visible,mls_photo_count,source_risk,notes,aerial_placeholder_tiles,aerial_real_tiles
11,vision_reviewed_batch_002,Fernie/Sparwood,20059379,1265 VALLEY VIEW Place,Kootenay,SP - Sparwood,49.74701139,-114.89135773,listing,data\aerial\fernie_sparwood\1265-valley-view-place-20059379\esri_world_imagery_z19\z19_x94821_y178381.jpg,data\contact_sheets\fernie_sparwood\1265-valley-view-place-20059379\aerial_contact_sheet.jpg,9,50,6696,114.5,40.5,partial,fair,no_mls_crosscheck,44,research_only_verify_license,"Vision batch 002: print_mockup_potential=medium; best_candidate_tile=center; Center tile shows house and yard but imagery is soft; small circular feature may be a tub/pool or yard object. MLS crosscheck batch 001: backyard_photos=yes; drone_or_aerial=no; hot_tub_or_pool=no; best_mls_photos=27,29,30,26,28; Strong backyard/outdoor MLS candidates with deck, lawn, landscaping, mountain views, and rear/side yard context. No visible aerial/drone or hot tub/pool.",0,9
12,vision_reviewed_batch_002,Fernie/Sparwood,20028580,1309 BIRCHWOOD Place,Kootenay,SP - Sparwood,49.75319604,-114.89103966,listing,data\aerial\fernie_sparwood\1309-birchwood-place-20028580\esri_world_imagery_z19\z19_x94821_y178367.jpg,data\contact_sheets\fernie_sparwood\1309-birchwood-place-20028580\aerial_contact_sheet.jpg,9,50,7562,86.9,40.3,partial,poor,no,76,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=center; Heavily treed lot with obscured yard and blurry imagery; limited usable backyard detail.,0,9
13,vision_reviewed_batch_002,Fernie/Sparwood,20034035,2202 Black Hawk Drive,Kootenay,SP - Sparwood,49.75721692,-114.89236494,listing,data\aerial\fernie_sparwood\2202-black-hawk-drive-20034035\esri_world_imagery_z19\z19_x94819_y178358.jpg,data\contact_sheets\fernie_sparwood\2202-black-hawk-drive-20034035\aerial_contact_sheet.jpg,9,48,5867,180.1,38.7,poor,poor,no,68,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Mostly undeveloped or bare lot/road area; no clear backyard amenity.,1,8
14,vision_reviewed_batch_002,Cranbrook/Kimberley,10658951,9444 MOYIE SHORES ESTATES W Road,Kootenay,CRANL - Moyie Lake,49.279867,-115.844255,listing,data\aerial\cranbrook_kimberley\9444-moyie-shores-estates-w-road-10658951\esri_world_imagery_z19\z19_x93433_y179429.jpg,data\contact_sheets\cranbrook_kimberley\9444-moyie-shores-estates-w-road-10658951\aerial_contact_sheet.jpg,9,47,12103,104.1,36.9,poor,fair,no,40,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Wooded rural setting with property mostly hidden by trees; no visible backyard focal point.,0,9
15,vision_reviewed_batch_002,Cranbrook/Kimberley,10621595,9382 MOYIE SHORES ESTATE Road,Kootenay,CRANL - Moyie Lake,49.288053,-115.833511,listing,data\aerial\cranbrook_kimberley\9382-moyie-shores-estate-road-10621595\esri_world_imagery_z19\z19_x93449_y179410.jpg,data\contact_sheets\cranbrook_kimberley\9382-moyie-shores-estate-road-10621595\aerial_contact_sheet.jpg,9,43,11123,133.2,33.2,partial,fair,no_mls_crosscheck,15,research_only_verify_license,"Vision batch 002: print_mockup_potential=medium; best_candidate_tile=center; Center/right area shows a lot with yard and structures; possible round feature but not confidently identifiable. MLS crosscheck batch 001: backyard_photos=yes; drone_or_aerial=no; hot_tub_or_pool=no; best_mls_photos=7,8,12,14,3,6,11; Excellent outdoor/waterfront MLS candidates including rear exterior, decks, lake views, dock/marina, shoreline, and wooded setting. No true aerial/drone imagery; lake visible but no pool or hot tub.",0,9
16,vision_reviewed_batch_002,Cranbrook/Kimberley,10641909,7822 MONROE LAKE Road,Kootenay,CRANL - Moyie Lake,49.364424,-115.861484,listing,data\aerial\cranbrook_kimberley\7822-monroe-lake-road-10641909\esri_world_imagery_z19\z19_x93408_y179240.jpg,data\contact_sheets\cranbrook_kimberley\7822-monroe-lake-road-10641909\aerial_contact_sheet.jpg,9,41,12870,112.8,31.1,partial,fair,no,4,research_only_verify_license,"Vision batch 002: print_mockup_potential=medium; best_candidate_tile=center; Lakefront property context is attractive, but yard detail is partly obscured by trees and resolution.",0,9
17,vision_reviewed_batch_002,Fernie/Sparwood,20084254,2252 Black Hawk Drive,Kootenay,SP - Sparwood,49.75952961,-114.8917588,listing,data\aerial\fernie_sparwood\2252-black-hawk-drive-20084254\esri_world_imagery_z19\z19_x94820_y178353.jpg,data\contact_sheets\fernie_sparwood\2252-black-hawk-drive-20084254\aerial_contact_sheet.jpg,9,41,5800,178.3,32.6,poor,poor,no,69,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=center; Center tile includes house/driveway but backyard is indistinct and image is washed out.,2,7
18,vision_reviewed_batch_002,Fernie/Sparwood,10683161,2313 FALCON Court,Kootenay,SP - Sparwood,49.75798803,-114.89175338,listing,data\aerial\fernie_sparwood\2313-falcon-court-10683161\esri_world_imagery_z19\z19_x94820_y178356.jpg,data\contact_sheets\fernie_sparwood\2313-falcon-court-10683161\aerial_contact_sheet.jpg,9,41,5232,181.8,33.0,partial,poor,no,59,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=center; House and lot are visible but very blurry with little usable backyard detail.,1,8
19,vision_reviewed_batch_002,Fernie/Sparwood,20035045,2411 Osprey Court,Kootenay,SP - Sparwood,49.7591632,-114.89207061,listing,data\aerial\fernie_sparwood\2411-osprey-court-20035045\esri_world_imagery_z19\z19_x94820_y178353.jpg,data\contact_sheets\fernie_sparwood\2411-osprey-court-20035045\aerial_contact_sheet.jpg,9,41,5800,178.3,32.6,poor,poor,no,51,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=center; Center tile shows driveway/roadside and building edge; backyard not clearly visible.,2,7
20,vision_reviewed_batch_002,Fernie/Sparwood,10675001,2134 WHISKEY JACK Drive,Kootenay,SP - Sparwood,49.75975517,-114.89851222,listing,data\aerial\fernie_sparwood\2134-whiskey-jack-drive-10675001\esri_world_imagery_z19\z19_x94810_y178352.jpg,data\contact_sheets\fernie_sparwood\2134-whiskey-jack-drive-10675001\aerial_contact_sheet.jpg,9,38,5440,188.5,30.5,poor,poor,no,34,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Mostly bare land/road with no clear residence or backyard amenity in the center tile.,0,9
21,vision_reviewed_batch_002,Fernie/Sparwood,20078352,2071 Golden Eagle Drive,Kootenay,SP - Sparwood,49.76245664,-114.89202357,listing,data\aerial\fernie_sparwood\2071-golden-eagle-drive-20078352\esri_world_imagery_z19\z19_x94820_y178346.jpg,data\contact_sheets\fernie_sparwood\2071-golden-eagle-drive-20078352\aerial_contact_sheet.jpg,9,37,5843,141.0,29.3,poor,poor,no,64,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Center tile appears to be vacant or underdeveloped terrain; no usable backyard candidate.,0,9
22,vision_reviewed_batch_002,Fernie/Sparwood,20080409,1668 Tranquility Road,Kootenay,FERU - Jaffray and Vicinity,49.17838232,-115.21566051,listing,data\aerial\fernie_sparwood\1668-tranquility-road-20080409\esri_world_imagery_z19\z19_x94349_y179655.jpg,data\contact_sheets\fernie_sparwood\1668-tranquility-road-20080409\aerial_contact_sheet.jpg,9,36,11507,64.5,27.9,poor,fair,no,45,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Dense tree canopy dominates center tile; property/backyard is obscured.,0,9
23,vision_reviewed_batch_002,Fernie/Sparwood,20021326,2264 BLACK HAWK Drive,Kootenay,SP - Sparwood,49.75981671,-114.89495128,listing,data\aerial\fernie_sparwood\2264-black-hawk-drive-20021326\esri_world_imagery_z19\z19_x94816_y178352.jpg,data\contact_sheets\fernie_sparwood\2264-black-hawk-drive-20021326\aerial_contact_sheet.jpg,9,35,5011,186.9,27.8,poor,poor,no,70,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Center tile is mainly road intersection/unfinished area; no visible backyard.,0,9
24,vision_reviewed_batch_002,Cranbrook/Kimberley,10667637,22-9481 ESTATES Road,Kootenay,CRANL - Moyie Lake,49.28054561,-115.84701547,listing,data\aerial\cranbrook_kimberley\22-9481-estates-road-10667637\esri_world_imagery_z19\z19_x93429_y179427.jpg,data\contact_sheets\cranbrook_kimberley\22-9481-estates-road-10667637\aerial_contact_sheet.jpg,9,30,12396,91.5,22.5,partial,fair,no,43,research_only_verify_license,"Vision batch 002: print_mockup_potential=medium; best_candidate_tile=center; Center tile shows a cleared rural area within trees; no clear house or amenity, but usable open-space context.",0,9
25,vision_reviewed_batch_002,Fernie/Sparwood,20069119,2030 GOLDEN EAGLE Drive,Kootenay,SP - Sparwood,49.75918072,-114.89444902,listing,data\aerial\fernie_sparwood\2030-golden-eagle-drive-20069119\esri_world_imagery_z19\z19_x94816_y178353.jpg,data\contact_sheets\fernie_sparwood\2030-golden-eagle-drive-20069119\aerial_contact_sheet.jpg,9,24,4546,194.6,18.8,poor,poor,no,76,research_only_verify_license,"Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Mostly road and vacant/bare lot; house appears only in adjacent tile, not a strong backyard crop.",0,9
26,vision_reviewed_batch_002,Fernie/Sparwood,10671578,2140 WHISKEY JACK Drive,Kootenay,SP - Sparwood,49.7608287,-114.90042812,listing,data\aerial\fernie_sparwood\2140-whiskey-jack-drive-10671578\esri_world_imagery_z19\z19_x94808_y178350.jpg,data\contact_sheets\fernie_sparwood\2140-whiskey-jack-drive-10671578\aerial_contact_sheet.jpg,9,24,5245,178.3,18.9,poor,poor,no,51,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Center tile is largely bare ground/track marks with no discernible backyard or residence.,0,9
27,vision_reviewed_batch_002,Fernie/Sparwood,10679212,2108 WHISKEY JACK Drive,Kootenay,SP - Sparwood,49.75627637,-114.89581347,listing,data\aerial\fernie_sparwood\2108-whiskey-jack-drive-10679212\esri_world_imagery_z19\z19_x94814_y178360.jpg,data\contact_sheets\fernie_sparwood\2108-whiskey-jack-drive-10679212\aerial_contact_sheet.jpg,9,17,4396,203.9,13.5,poor,poor,no,41,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Center tile shows roadway and pale open ground; no usable backyard scene.,2,7
28,vision_reviewed_batch_002,Columbia Valley,10574816,1 BIGHORN SHEEP Lane,Kootenay,CF - Canal Flats,50.154785,-115.808063,listing,data\aerial\columbia_valley\1-bighorn-sheep-lane-10574816\esri_world_imagery_z19\z19_x93486_y177458.jpg,data\contact_sheets\columbia_valley\1-bighorn-sheep-lane-10574816\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,8,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Map data not available; no imagery to evaluate.,9,0
29,vision_reviewed_batch_002,Columbia Valley,10563296,1007 4TH Avenue,Kootenay,IN - Invermere,50.505917,-116.025478,listing,data\aerial\columbia_valley\1007-4th-avenue-10563296\esri_world_imagery_z19\z19_x93169_y176657.jpg,data\contact_sheets\columbia_valley\1007-4th-avenue-10563296\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,7,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Map data not available; no imagery to evaluate.,9,0
30,vision_reviewed_batch_002,Columbia Valley,10667320,1018 SWANSEA Road,Kootenay,INRU - Windermere,50.49706742,-115.98452749,listing,data\aerial\columbia_valley\1018-swansea-road-10667320\esri_world_imagery_z19\z19_x93229_y176677.jpg,data\contact_sheets\columbia_valley\1018-swansea-road-10667320\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,58,research_only_verify_license,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Map data not available; no imagery to evaluate.,9,0
31,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10658844,1059 SWANSEA Road,Kootenay,INRU - Windermere,50.495341,-115.985348,listing,data\aerial\columbia_valley\1059-swansea-road-10658844\esri_world_imagery_z19\z19_x93228_y176681.jpg,data\contact_sheets\columbia_valley\1059-swansea-road-10658844\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
32,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10675551,1101 6TH Street,Kootenay,IN - Invermere,50.50835857,-116.03418661,listing,data\aerial\columbia_valley\1101-6th-street-10675551\esri_world_imagery_z19\z19_x93156_y176651.jpg,data\contact_sheets\columbia_valley\1101-6th-street-10675551\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,32,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
33,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10657869,1122 HILLTOP Road,Kootenay,INRU - Windermere,50.489095,-115.994404,listing,data\aerial\columbia_valley\1122-hilltop-road-10657869\esri_world_imagery_z19\z19_x93214_y176695.jpg,data\contact_sheets\columbia_valley\1122-hilltop-road-10657869\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
34,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,20021647,13-640 UPPER LAKEVIEW Road,Kootenay,IN - Invermere,50.50619478,-116.0091049,listing,data\aerial\columbia_valley\13-640-upper-lakeview-road-20021647\esri_world_imagery_z19\z19_x93193_y176656.jpg,data\contact_sheets\columbia_valley\13-640-upper-lakeview-road-20021647\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,29,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
35,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,20049552,1325 12 Avenue,Kootenay,IN - Invermere,50.50280839,-116.03501953,listing,data\aerial\columbia_valley\1325-12-avenue-20049552\esri_world_imagery_z19\z19_x93155_y176664.jpg,data\contact_sheets\columbia_valley\1325-12-avenue-20049552\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,57,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
36,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,20026178,137 12A Avenue,Kootenay,IN - Invermere,50.51218755,-116.03629099,listing,data\aerial\columbia_valley\137-12a-avenue-20026178\esri_world_imagery_z19\z19_x93153_y176642.jpg,data\contact_sheets\columbia_valley\137-12a-avenue-20026178\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,79,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
37,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10683098,1440 CANTERBURY Close,Kootenay,IN - Invermere,50.50410789,-116.04469441,listing,data\aerial\columbia_valley\1440-canterbury-close-10683098\esri_world_imagery_z19\z19_x93141_y176661.jpg,data\contact_sheets\columbia_valley\1440-canterbury-close-10683098\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,42,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
38,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10589073,1453 STODDART Avenue,Kootenay,INRU - Windermere,50.473806,-115.993258,listing,data\aerial\columbia_valley\1453-stoddart-avenue-10589073\esri_world_imagery_z19\z19_x93216_y176730.jpg,data\contact_sheets\columbia_valley\1453-stoddart-avenue-10589073\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
39,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10647009,1502 PINERIDGE MOUNTAIN Place,Kootenay,IN - Invermere,50.499814,-116.050198,listing,data\aerial\columbia_valley\1502-pineridge-mountain-place-10647009\esri_world_imagery_z19\z19_x93133_y176671.jpg,data\contact_sheets\columbia_valley\1502-pineridge-mountain-place-10647009\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,40,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
40,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,20049602,1509 10th Avenue,Kootenay,IN - Invermere,50.50115804,-116.03215489,listing,data\aerial\columbia_valley\1509-10th-avenue-20049602\esri_world_imagery_z19\z19_x93159_y176668.jpg,data\contact_sheets\columbia_valley\1509-10th-avenue-20049602\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,49,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
41,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10573769,1513 LAKEVIEW Lane,Kootenay,IN - Invermere,50.500077,-116.020167,listing,data\aerial\columbia_valley\1513-lakeview-lane-10573769\esri_world_imagery_z19\z19_x93177_y176670.jpg,data\contact_sheets\columbia_valley\1513-lakeview-lane-10573769\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,10,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
42,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10685465,1715 3RD Avenue,Kootenay,IN - Invermere,50.49765186,-116.02155503,listing,data\aerial\columbia_valley\1715-3rd-avenue-10685465\esri_world_imagery_z19\z19_x93175_y176676.jpg,data\contact_sheets\columbia_valley\1715-3rd-avenue-10685465\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,42,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
43,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10675078,1745 SWANSEA Avenue,Kootenay,INRU - Windermere,50.46040694,-115.98961761,listing,data\aerial\columbia_valley\1745-swansea-avenue-10675078\esri_world_imagery_z19\z19_x93221_y176761.jpg,data\contact_sheets\columbia_valley\1745-swansea-avenue-10675078\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,42,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
44,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10521676,1753 2ND Avenue,Kootenay,IN - Invermere,50.496096,-116.020723,listing,data\aerial\columbia_valley\1753-2nd-avenue-10521676\esri_world_imagery_z19\z19_x93176_y176679.jpg,data\contact_sheets\columbia_valley\1753-2nd-avenue-10521676\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,1,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
45,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10676060,1825 TAYNTON Road,Kootenay,INRU - Windermere,50.46056033,-115.9746408,listing,data\aerial\columbia_valley\1825-taynton-road-10676060\esri_world_imagery_z19\z19_x93243_y176761.jpg,data\contact_sheets\columbia_valley\1825-taynton-road-10676060\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,99,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
46,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,20020845,1921 PINERIDGE MOUNTAIN Trail,Kootenay,IN - Invermere,50.49895093,-116.04976926,listing,data\aerial\columbia_valley\1921-pineridge-mountain-trail-20020845\esri_world_imagery_z19\z19_x93134_y176673.jpg,data\contact_sheets\columbia_valley\1921-pineridge-mountain-trail-20020845\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,2,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
47,vision_reviewed_batch_003_no_aerial_imagery,Columbia Valley,10650416,1973 GREYWOLF Drive,Kootenay,INRU - Panorama,50.453873,-116.244428,listing,data\aerial\columbia_valley\1973-greywolf-drive-10650416\esri_world_imagery_z19\z19_x92850_y176776.jpg,data\contact_sheets\columbia_valley\1973-greywolf-drive-10650416\aerial_contact_sheet.jpg,9,7,2521,204.7,5.4,unclear,poor,unclear,24,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.,9,0
