triage_rank,triage_score,listing_id,address,source_label,area,subarea,coordinate_confidence,latitude,longitude,recommended_source,aerial_coverage_goal,best_overhead_candidate,aerial_contact_sheet,aerial_review_status,aerial_backyard_visibility,aerial_overhead_quality,aerial_real_tiles,aerial_placeholder_tiles,mls_contact_sheet,mls_photo_count,mls_backyard_photos,mls_drone_or_aerial,mls_best_photo_indices,mls_candidate_strength,hot_tub_or_pool_signal,source_risk,notes
11,86,20059692,4891 Glen Eagle Drive,Columbia Valley,Kootenay,INRU - Fairmont/Columbia Lake,listing,50.33277065,-115.86319523,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\4891-glen-eagle-drive-20059692\esri_world_imagery_z19\z19_x93405_y177052.jpg,data\contact_sheets\columbia_valley\4891-glen-eagle-drive-20059692\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\4891-glen-eagle-drive-20059692\mls_contact_sheet.jpg,30,yes,yes,"1,4,5,23",high,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Clear drone/aerial mountain/neighborhood view plus patio/covered outdoor sitting area.
12,86,10676258,49 MT PROCTOR Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.49026649,-115.0736758,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\fernie_sparwood\49-mt-proctor-avenue-10676258\esri_world_imagery_z19\z19_x94555_y178958.jpg,data\contact_sheets\fernie_sparwood\49-mt-proctor-avenue-10676258\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\49-mt-proctor-avenue-10676258\mls_contact_sheet.jpg,30,yes,yes,"3,2,1,30",high,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 3 is a top-down/aerial view showing house/roof and surrounding lot context. Photos 1/2 show house with lawn from ground level; photo 30 gives yard/neighborhood context from an elevated deck/porch angle.
13,86,20026072,4992 MOUNTAIN VIEW Drive,Columbia Valley,Kootenay,INRU - Fairmont/Columbia Lake,listing,50.33803843,-115.84960674,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\4992-mountain-view-drive-20026072\esri_world_imagery_z19\z19_x93425_y177040.jpg,data\contact_sheets\columbia_valley\4992-mountain-view-drive-20026072\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\4992-mountain-view-drive-20026072\mls_contact_sheet.jpg,30,yes,yes,"1,17,18,19",high,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Aerial/property overview plus deck/patio outdoor living views; no clear pool or hot tub.
14,86,10665467,661 3RD Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.5050238,-115.06152084,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\fernie_sparwood\661-3rd-avenue-10665467\esri_world_imagery_z19\z19_x94573_y178925.jpg,data\contact_sheets\fernie_sparwood\661-3rd-avenue-10665467\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\661-3rd-avenue-10665467\mls_contact_sheet.jpg,30,yes,yes,"3,4,5,6,7",high,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong backyard/lot coverage; photo 7 is top-down/elevated yard view, with multiple ground views showing house/yard context."
15,86,10672776,804 17TH S Street,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.4929927,-115.7701496,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\804-17th-s-street-10672776\esri_world_imagery_z19\z19_x93541_y178952.jpg,data\contact_sheets\cranbrook_kimberley\804-17th-s-street-10672776\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\804-17th-s-street-10672776\mls_contact_sheet.jpg,30,yes,yes,"1,2,4,5,7,8,9,15,16,19,20,21,22,24,25",high,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Very strong backyard/landscaping set with overhead aerial/drone angles and many lawn/garden/view shots; no visible pool/hot tub.
16,86,20039625,941 5th Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.50826419,-115.06151836,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\fernie_sparwood\941-5th-avenue-20039625\esri_world_imagery_z19\z19_x94573_y178918.jpg,data\contact_sheets\fernie_sparwood\941-5th-avenue-20039625\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\941-5th-avenue-20039625\mls_contact_sheet.jpg,30,yes,yes,29,high,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 29 is a useful top-down aerial showing house/roof and lot context; photo 30 provides broader elevated neighborhood/mountain context.
17,86,10665224,946 RIDGE Place,Columbia Valley,Kootenay,INRU - Windermere,listing,50.49380051,-116.00664354,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\946-ridge-place-10665224\esri_world_imagery_z19\z19_x93197_y176684.jpg,data\contact_sheets\columbia_valley\946-ridge-place-10665224\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\946-ridge-place-10665224\mls_contact_sheet.jpg,30,yes,yes,"3,12,2",high,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong aerial/elevated coverage. Photo 3 is top-down/near-top-down lot view; photo 12 is oblique elevated view showing house within treed lot; photo 2 gives broader elevated context with property marker.
18,86,20038863,960 COPPER POINT Way,Columbia Valley,Kootenay,INRU - Invermere Rural,listing,50.4991245,-115.98763114,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\960-copper-point-way-20038863\esri_world_imagery_z19\z19_x93224_y176672.jpg,data\contact_sheets\columbia_valley\960-copper-point-way-20038863\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\960-copper-point-way-20038863\mls_contact_sheet.jpg,30,yes,yes,"7,6,3,5,1",high,no,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Clear true aerial/drone neighborhood and mountain views; exterior/front outdoor shots also present.
19,85,10679423,1681 KOOCANUSA LAKE Drive,Fernie/Sparwood,Kootenay,FERU - Elko to Montana,listing,49.17766297,-115.23551542,arcgis_overhead_house_backyard_candidate,likely_house_and_backyard_overhead,data\aerial\fernie_sparwood\1681-koocanusa-lake-drive-10679423\esri_world_imagery_z19\z19_x94320_y179657.jpg,data\contact_sheets\fernie_sparwood\1681-koocanusa-lake-drive-10679423\aerial_contact_sheet.jpg,vision_reviewed_batch_001,good,good,9,0,data\mls_contact_sheets\fernie_sparwood\1681-koocanusa-lake-drive-10679423\mls_contact_sheet.jpg,29,unreviewed,unreviewed,,unreviewed,no,research_only_verify_license,"Vision batch 001: print_mockup_potential=high; best_candidate_tile=center; Clear lakeside property with yard, beach, and shoreline context; no obvious hot tub or pool."
20,82,20049552,1325 12 Avenue,Columbia Valley,Kootenay,IN - Invermere,listing,50.50280839,-116.03501953,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\1325-12-avenue-20049552\esri_world_imagery_z19\z19_x93155_y176664.jpg,data\contact_sheets\columbia_valley\1325-12-avenue-20049552\aerial_contact_sheet.jpg,vision_reviewed_batch_003_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\1325-12-avenue-20049552\mls_contact_sheet.jpg,30,yes,yes,"11,12,19,20",medium,not_reviewed_for_this_goal,research_only_verify_license,"Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Goal review: no true drone/top-down visible, but elevated/yard-view photos show house portions, backyard/lot, and surrounding setting together."
21,82,10647009,1502 PINERIDGE MOUNTAIN Place,Columbia Valley,Kootenay,IN - Invermere,listing,50.499814,-116.050198,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\1502-pineridge-mountain-place-10647009\esri_world_imagery_z19\z19_x93133_y176671.jpg,data\contact_sheets\columbia_valley\1502-pineridge-mountain-place-10647009\aerial_contact_sheet.jpg,vision_reviewed_batch_003_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\1502-pineridge-mountain-place-10647009\mls_contact_sheet.jpg,30,yes,yes,"3,4,9,10,12,13",medium,not_reviewed_for_this_goal,research_only_verify_license,"Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Goal review: good elevated/ground exterior views of rear facade, lawn, and surrounding treed lot; no true top-down aerial."
22,82,10669905,1609 8TH S Avenue,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.49356895,-115.7711047,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\1609-8th-s-avenue-10669905\esri_world_imagery_z19\z19_x93540_y178950.jpg,data\contact_sheets\cranbrook_kimberley\1609-8th-s-avenue-10669905\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\1609-8th-s-avenue-10669905\mls_contact_sheet.jpg,30,yes,yes,"8,7,5",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 8 is an elevated/aerial oblique showing house, yard/lot, and neighboring context. Other exterior shots are ground-level."
23,82,10654287,21 MT MINTON Street,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.495733,-115.070687,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\fernie_sparwood\21-mt-minton-street-10654287\esri_world_imagery_z19\z19_x94560_y178946.jpg,data\contact_sheets\fernie_sparwood\21-mt-minton-street-10654287\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\21-mt-minton-street-10654287\mls_contact_sheet.jpg,30,yes,yes,"29,30,28,1",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photos 28-30 are elevated deck/backyard/lot views; they show usable rear-lot context though not a full overhead house+yard aerial.
24,82,20061096,5221 Columbia River Road,Columbia Valley,Kootenay,INRU - Fairmont/Columbia Lake,listing,50.32434756,-115.8583252,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\5221-columbia-river-road-20061096\esri_world_imagery_z19\z19_x93413_y177072.jpg,data\contact_sheets\columbia_valley\5221-columbia-river-road-20061096\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\5221-columbia-river-road-20061096\mls_contact_sheet.jpg,30,yes,yes,"1,20,21",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 1 is a useful aerial/overhead view of house within wooded lot, though partially obscured by trees; deck/yard views add context."
25,82,20066454,6740 Rosen Lake Road,Fernie/Sparwood,Kootenay,FERU - Jaffray and Vicinity,listing,49.4010629,-115.26326328,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\fernie_sparwood\6740-rosen-lake-road-20066454\esri_world_imagery_z19\z19_x94279_y179158.jpg,data\contact_sheets\fernie_sparwood\6740-rosen-lake-road-20066454\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\6740-rosen-lake-road-20066454\mls_contact_sheet.jpg,30,yes,yes,"3,1,26,27,2",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: several elevated/exterior views show the house/deck with surrounding wooded lot. Photos 3 and 1 best combine structure with lot context; photos 26/27 add elevated deck/yard/setting views.
26,82,10647683,6949 COLUMBIA RIDGE Drive,Columbia Valley,Kootenay,INRU - Fairmont/Columbia Lake,listing,50.239283,-115.870556,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\6949-columbia-ridge-drive-10647683\esri_world_imagery_z19\z19_x93395_y177266.jpg,data\contact_sheets\columbia_valley\6949-columbia-ridge-drive-10647683\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\6949-columbia-ridge-drive-10647683\mls_contact_sheet.jpg,30,yes,yes,"1,3,12,13,8,10",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no true aerial, but several elevated/ground exterior views show house with broad yard/lot and surrounding landscape; photos 1 and 3 are strongest house-plus-lot views."
27,82,10670913,8042 MCINTOSH LOOP Road,Columbia Valley,Kootenay,RA - Radium Hot Springs,listing,50.6030282,-116.04715436,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\8042-mcintosh-loop-road-10670913\esri_world_imagery_z19\z19_x93138_y176434.jpg,data\contact_sheets\columbia_valley\8042-mcintosh-loop-road-10670913\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\8042-mcintosh-loop-road-10670913\mls_contact_sheet.jpg,30,yes,yes,"4,5,14,16",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 4 appears to be an aerial/top-down view showing house/drive and surrounding wooded lot. Yard/garden ground shots add backyard context.
28,82,10646987,815 LAKEVIEW MEADOWS GREEN,Columbia Valley,Kootenay,INRU - Windermere,listing,50.500176,-116.005565,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\815-lakeview-meadows-green-10646987\esri_world_imagery_z19\z19_x93198_y176670.jpg,data\contact_sheets\columbia_valley\815-lakeview-meadows-green-10646987\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\815-lakeview-meadows-green-10646987\mls_contact_sheet.jpg,30,yes,yes,"4,5,20",medium,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: rear/elevated exterior and yard/deck views show house with landscaped backyard area; no top-down aerial.
29,82,10654610,850 LAKEVIEW MEADOWS Road,Columbia Valley,Kootenay,INRU - Windermere,listing,50.498402,-116.00191,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\850-lakeview-meadows-road-10654610\esri_world_imagery_z19\z19_x93203_y176674.jpg,data\contact_sheets\columbia_valley\850-lakeview-meadows-road-10654610\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\850-lakeview-meadows-road-10654610\mls_contact_sheet.jpg,30,yes,yes,"3,4,1,2",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no true top-down aerial visible, but photos 3 and 4 show rear/exterior with yard/trees and house together; photos 1/2 are useful front/lot context."
30,82,10668743,921 11TH Avenue,Fernie/Sparwood,Kootenay,FE - Fernie,listing,49.51108253,-115.06850007,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\fernie_sparwood\921-11th-avenue-10668743\esri_world_imagery_z19\z19_x94563_y178911.jpg,data\contact_sheets\fernie_sparwood\921-11th-avenue-10668743\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\fernie_sparwood\921-11th-avenue-10668743\mls_contact_sheet.jpg,30,yes,yes,"4,24,25,26,27",medium,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 4 is an elevated/aerial neighborhood/property view with roof/lot context, though subject/backyard detail is somewhat partial. Deck/yard shots add ground-level context."
31,69,20068707,1643 Koocanusa Lake Drive,Fernie/Sparwood,Kootenay,FERU - Jaffray and Vicinity,listing,49.1789198,-115.23394025,arcgis_overhead_house_backyard_candidate,likely_house_and_backyard_overhead,data\aerial\fernie_sparwood\1643-koocanusa-lake-drive-20068707\esri_world_imagery_z19\z19_x94322_y179654.jpg,data\contact_sheets\fernie_sparwood\1643-koocanusa-lake-drive-20068707\aerial_contact_sheet.jpg,vision_reviewed_batch_001,partial,good,9,0,data\mls_contact_sheets\fernie_sparwood\1643-koocanusa-lake-drive-20068707\mls_contact_sheet.jpg,30,unreviewed,unreviewed,,unreviewed,no,research_only_verify_license,Vision batch 001: print_mockup_potential=medium; best_candidate_tile=other; Center tile is mostly road and driveway; adjacent right-side tiles show better homes and lawns near water.
