source_label,listing_id,address,downloaded_mls_thumbnails,possible_outdoor_backyard_aerial_candidates,mls_contact_sheet,reuse_rights,notes
Columbia Valley,10672919,6894 COLUMBIA RIDGE Drive,30,27,data\mls_contact_sheets\columbia_valley\6894-columbia-ridge-drive-10672919\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20049552,1325 12 Avenue,30,29,data\mls_contact_sheets\columbia_valley\1325-12-avenue-20049552\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10673047,4576 COLUMERE Road,30,30,data\mls_contact_sheets\columbia_valley\4576-columere-road-10673047\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10623245,5160 RIVERSIDE Drive,17,17,data\mls_contact_sheets\columbia_valley\5160-riverside-drive-10623245\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10647683,6949 COLUMBIA RIDGE Drive,30,29,data\mls_contact_sheets\columbia_valley\6949-columbia-ridge-drive-10647683\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10650416,1973 GREYWOLF Drive,24,21,data\mls_contact_sheets\columbia_valley\1973-greywolf-drive-10650416\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10657869,1122 HILLTOP Road,30,28,data\mls_contact_sheets\columbia_valley\1122-hilltop-road-10657869\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10672915,3415 CROOKED TREE Place,30,30,data\mls_contact_sheets\columbia_valley\3415-crooked-tree-place-10672915\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10673650,4949 MOUNTAIN HILL Road,30,28,data\mls_contact_sheets\columbia_valley\4949-mountain-hill-road-10673650\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10683098,1440 CANTERBURY Close,30,25,data\mls_contact_sheets\columbia_valley\1440-canterbury-close-10683098\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10684446,2543 LEDGEROCK Ridge,30,30,data\mls_contact_sheets\columbia_valley\2543-ledgerock-ridge-10684446\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10680461,4671 POPLAR Street,30,14,data\mls_contact_sheets\columbia_valley\4671-poplar-street-10680461\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10685465,1715 3RD Avenue,30,16,data\mls_contact_sheets\columbia_valley\1715-3rd-avenue-10685465\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10672111,2577 SANDSTONE Circle,30,30,data\mls_contact_sheets\columbia_valley\2577-sandstone-circle-10672111\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10680456,2580 SANDSTONE View,30,29,data\mls_contact_sheets\columbia_valley\2580-sandstone-view-10680456\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10673624,8414 RICHARDSON Crescent,30,28,data\mls_contact_sheets\columbia_valley\8414-richardson-crescent-10673624\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20071157,974 SWANSEA VIEW Road,30,18,data\mls_contact_sheets\columbia_valley\974-swansea-view-road-20071157\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10570990,5156 RIVERVIEW Crescent,10,10,data\mls_contact_sheets\columbia_valley\5156-riverview-crescent-10570990\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10629099,4815 HOLLAND CREEK RIDGE Road,20,20,data\mls_contact_sheets\columbia_valley\4815-holland-creek-ridge-road-10629099\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10639146,823 LAKEVIEW MEADOWS GREEN,30,30,data\mls_contact_sheets\columbia_valley\823-lakeview-meadows-green-10639146\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10662523,4816 RIDGE Drive,30,11,data\mls_contact_sheets\columbia_valley\4816-ridge-drive-10662523\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10677502,2537 LEDGEROCK Ridge,30,30,data\mls_contact_sheets\columbia_valley\2537-ledgerock-ridge-10677502\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20020845,1921 PINERIDGE MOUNTAIN Trail,2,1,data\mls_contact_sheets\columbia_valley\1921-pineridge-mountain-trail-20020845\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20021336,781 WESTRIDGE Drive,30,27,data\mls_contact_sheets\columbia_valley\781-westridge-drive-20021336\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20026072,4992 MOUNTAIN VIEW Drive,30,30,data\mls_contact_sheets\columbia_valley\4992-mountain-view-drive-20026072\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20046407,4824 MCKAY Street,30,29,data\mls_contact_sheets\columbia_valley\4824-mckay-street-20046407\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10669795,7043 ELK RIDGE Road,30,30,data\mls_contact_sheets\columbia_valley\7043-elk-ridge-road-10669795\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10563296,1007 4TH Avenue,7,7,data\mls_contact_sheets\columbia_valley\1007-4th-avenue-10563296\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10590002,4642 ROWAN Street,10,10,data\mls_contact_sheets\columbia_valley\4642-rowan-street-10590002\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10588693,885 COPPERVIEW Close,3,3,data\mls_contact_sheets\columbia_valley\885-copperview-close-10588693\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10662424,7503 SUN VALLEY Place,30,30,data\mls_contact_sheets\columbia_valley\7503-sun-valley-place-10662424\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20050440,959 COPPER POINT Way,30,27,data\mls_contact_sheets\columbia_valley\959-copper-point-way-20050440\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20076380,4573 Columere Road,30,27,data\mls_contact_sheets\columbia_valley\4573-columere-road-20076380\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10671250,2588 LEDGEROCK Ridge,30,30,data\mls_contact_sheets\columbia_valley\2588-ledgerock-ridge-10671250\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10665254,815 LAKEVIEW MEADOWS GREEN,4,4,data\mls_contact_sheets\columbia_valley\815-lakeview-meadows-green-10665254\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10685328,961 COPPER POINT Way,30,28,data\mls_contact_sheets\columbia_valley\961-copper-point-way-10685328\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10523709,515 LAKEVIEW Place,1,1,data\mls_contact_sheets\columbia_valley\515-lakeview-place-10523709\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10565896,4859 HOLLAND CK RIDGE Road,7,7,data\mls_contact_sheets\columbia_valley\4859-holland-ck-ridge-road-10565896\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10569690,4927 LAKEVIEW MEADOWS Close,5,5,data\mls_contact_sheets\columbia_valley\4927-lakeview-meadows-close-10569690\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10572288,4552 COLUMBIA VIEW Road,10,10,data\mls_contact_sheets\columbia_valley\4552-columbia-view-road-10572288\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10573769,1513 LAKEVIEW Lane,10,10,data\mls_contact_sheets\columbia_valley\1513-lakeview-lane-10573769\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10574816,1 BIGHORN SHEEP Lane,8,8,data\mls_contact_sheets\columbia_valley\1-bighorn-sheep-lane-10574816\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10587559,4905 LAKEVIEW MEADOWS Close,10,10,data\mls_contact_sheets\columbia_valley\4905-lakeview-meadows-close-10587559\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10589073,1453 STODDART Avenue,10,10,data\mls_contact_sheets\columbia_valley\1453-stoddart-avenue-10589073\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10607338,4764 TIMBER RIDGE Road,10,9,data\mls_contact_sheets\columbia_valley\4764-timber-ridge-road-10607338\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10613313,964 LAKEVIEW MEADOWS GLEN,10,10,data\mls_contact_sheets\columbia_valley\964-lakeview-meadows-glen-10613313\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10631280,4808 LAKEHILL Road,19,19,data\mls_contact_sheets\columbia_valley\4808-lakehill-road-10631280\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10631447,2527 LEDGEROCK Ridge,16,16,data\mls_contact_sheets\columbia_valley\2527-ledgerock-ridge-10631447\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10638399,7549 SPRINGS Terrace,30,29,data\mls_contact_sheets\columbia_valley\7549-springs-terrace-10638399\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10644065,4806 HOLLAND CREEK RIDGE Road,30,30,data\mls_contact_sheets\columbia_valley\4806-holland-creek-ridge-road-10644065\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10650499,402 WESTRIDGE View,30,30,data\mls_contact_sheets\columbia_valley\402-westridge-view-10650499\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10654610,850 LAKEVIEW MEADOWS Road,30,29,data\mls_contact_sheets\columbia_valley\850-lakeview-meadows-road-10654610\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10659027,4642 ROWAN Street,30,26,data\mls_contact_sheets\columbia_valley\4642-rowan-street-10659027\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10660407,2589 LEDGEROCK Court,30,26,data\mls_contact_sheets\columbia_valley\2589-ledgerock-court-10660407\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10660433,4942 MOUNTAIN HILL Road,30,30,data\mls_contact_sheets\columbia_valley\4942-mountain-hill-road-10660433\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10666174,4931 MOUNTAIN VIEW Drive,4,4,data\mls_contact_sheets\columbia_valley\4931-mountain-view-drive-10666174\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10667320,1018 SWANSEA Road,30,30,data\mls_contact_sheets\columbia_valley\1018-swansea-road-10667320\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10671043,4690 NORTH Street,30,30,data\mls_contact_sheets\columbia_valley\4690-north-street-10671043\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10672747,6925 COLUMBIA RIDGE Drive,30,20,data\mls_contact_sheets\columbia_valley\6925-columbia-ridge-drive-10672747\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10676060,1825 TAYNTON Road,30,29,data\mls_contact_sheets\columbia_valley\1825-taynton-road-10676060\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20073830,311 302nd Avenue,30,24,data\mls_contact_sheets\cranbrook_kimberley\311-302nd-avenue-20073830\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20078478,75 103RD Avenue,30,30,data\mls_contact_sheets\cranbrook_kimberley\75-103rd-avenue-20078478\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20071254,317 Legacy Lookout,28,19,data\mls_contact_sheets\cranbrook_kimberley\317-legacy-lookout-20071254\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10657484,1701 3RD S Avenue,14,13,data\mls_contact_sheets\cranbrook_kimberley\1701-3rd-s-avenue-10657484\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10669940,518 FOREST CROWNE Drive,5,4,data\mls_contact_sheets\cranbrook_kimberley\518-forest-crowne-drive-10669940\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20063623,3101 5th Street S,30,28,data\mls_contact_sheets\cranbrook_kimberley\3101-5th-street-s-20063623\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20073637,454 Forest Crowne Rise,30,29,data\mls_contact_sheets\cranbrook_kimberley\454-forest-crowne-rise-20073637\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10670897,1905 16TH S Street,30,29,data\mls_contact_sheets\cranbrook_kimberley\1905-16th-s-street-10670897\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20084357,233 Boulder Creek,30,26,data\mls_contact_sheets\cranbrook_kimberley\233-boulder-creek-20084357\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10682881,447 CROWNE RISE Forest,30,29,data\mls_contact_sheets\cranbrook_kimberley\447-crowne-rise-forest-10682881\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20058040,205 309th Avenue,30,30,data\mls_contact_sheets\cranbrook_kimberley\205-309th-avenue-20058040\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10693834,821 6TH Avenue,30,30,data\mls_contact_sheets\cranbrook_kimberley\821-6th-avenue-10693834\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20027125,1282 23RD S Street,30,29,data\mls_contact_sheets\cranbrook_kimberley\1282-23rd-s-street-20027125\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20060670,717 27th Avenue S,30,17,data\mls_contact_sheets\cranbrook_kimberley\717-27th-avenue-s-20060670\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20074790,215 13th Avenue S,30,30,data\mls_contact_sheets\cranbrook_kimberley\215-13th-avenue-s-20074790\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10675733,1732 20TH S Avenue,30,30,data\mls_contact_sheets\cranbrook_kimberley\1732-20th-s-avenue-10675733\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10667018,129 STEMWINDER Drive,25,25,data\mls_contact_sheets\cranbrook_kimberley\129-stemwinder-drive-10667018\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,10667357,1464 SOUTHVIEW Drive,30,24,data\mls_contact_sheets\cranbrook_kimberley\1464-southview-drive-10667357\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20053388,2715 3rd Street S,30,25,data\mls_contact_sheets\cranbrook_kimberley\2715-3rd-street-s-20053388\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20068527,1908 12th Street S,30,27,data\mls_contact_sheets\cranbrook_kimberley\1908-12th-street-s-20068527\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20070160,530 Trail Street,30,30,data\mls_contact_sheets\cranbrook_kimberley\530-trail-street-20070160\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20078342,209 31st Avenue S,30,28,data\mls_contact_sheets\cranbrook_kimberley\209-31st-avenue-s-20078342\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20081980,606 302nd Street,30,28,data\mls_contact_sheets\cranbrook_kimberley\606-302nd-street-20081980\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Cranbrook/Kimberley,20047369,303 Legacy Lookout,12,12,data\mls_contact_sheets\cranbrook_kimberley\303-legacy-lookout-20047369\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
